Symbol,Name,Price,Change,Change %,Market Cap,Volume,Volume In Currency (24hr),Total Volume All Currencies (24hr),Circulating Supply,52 Wk Change %
BNSOL-USD,Binance Staked SOL USD,154.8,3.8,+2.51%,1.268B,2.657M,2.657M,2.657M,8.193M,-41.51%
VET-USD,VeChain USD,0.01,-0.0,-0.21%,1.237B,34.951M,34.951M,34.951M,85.985B,-53.82%
STRK22691-USD,Starknet USD,0.27,0.04,+16.57%,1.235B,927.991M,927.991M,927.991M,4.56B,-59.33%
USDG33793-USD,Global Dollar USD,1.0,-0.0,-0.00%,1.168B,40.904M,40.904M,40.904M,1.168B,-20.66%
SLISBNB-USD,Lista Staked BNB USD,930.8,-25.06,-2.62%,1.161B,403922,403922,403922,1.247M,+51.21%
KAS-USD,Kaspa USD,0.04,0.0,+2.05%,1.156B,46.697M,46.697M,46.697M,26.935B,-71.77%
PUMP36507-USD,Pump.fun USD,0.0,0.0,+6.88%,1.151B,228.845M,228.845M,228.845M,354B,-60.13%
SKY33038-USD,Sky USD,0.05,-0.0,-1.03%,1.139B,14.542M,14.542M,14.542M,22.913B,-25.25%
FBTC-USD,Function USD,92489.7,2430.88,+2.70%,1.099B,293405,293405,293405,11879,-5.14%
LBTC33652-USD,Lombard Staked BTC USD,92420.56,1381.46,+1.52%,1.089B,928885,928885,928885,11784,-5.40%
RSETH-USD,Kelp DAO Restaked ETH USD,3185.7,-47.64,-1.47%,1.077B,2.452M,2.452M,2.452M,338194,-4.84%
RENDER-USD,Render USD,2.05,0.04,+2.16%,1.065B,64.603M,64.603M,64.603M,518.585M,-71.97%
FLR-USD,Flare USD,0.01,-0.0,-0.80%,1.041B,5.773M,5.773M,5.773M,78.487B,-32.43%
WFLR-USD,Wrapped Flare USD,0.01,0.0,+0.93%,1.04B,--,--,--,78.487B,--
RLUSD-USD,Ripple USD USD,1.0,-0.0,-0.19%,1.027B,81.384M,81.384M,81.384M,1.028B,-0.01%
LSETH-USD,Liquid Staked ETH USD,3250.59,-1.69,-0.05%,1.024B,176168,176168,176168,315147,-6.30%
DASH-USD,Dash USD,80.29,4.16,+5.46%,1.003B,377.362M,377.362M,377.362M,12.488M,+169.25%
SLISBNBX-USD,slisBNBx USD,903.01,-23.45,-2.53%,979.089M,1.513M,1.513M,1.513M,1.084M,+42.63%
SOLVBTC-USD,SolvBTC USD,91725.87,740.31,+0.81%,969.754M,229826,229826,229826,10572,-5.36%
SEI-USD,Sei USD,0.15,0.0,+1.35%,958.042M,112.931M,112.931M,112.931M,6.37B,-68.93%
FDUSD-USD,First Digital USD USD,1.0,-0.0,-0.05%,942.398M,5.836B,5.836B,5.836B,946.021M,-0.16%
